X (Twitter) handle,type
_bubblyabby_,N/A
_cultureexpress,N/A
ACSF1919,N/A
afghanchina,N/A
AlexYsalex17,N/A
Amazing_Yunnan,Travel & Transportation
Amb_ChenXu,N/A
Amb_LiSong,N/A
Amb_LuKang,N/A
Amb_Yiming,N/A
Amb_ZhuJing,N/A
AmbassadeChine,N/A
Ambassador_Liu,N/A
AmbassadorHuang,N/A
AmbassadorLei,N/A
AmbChangHua,N/A
AmbChenBo,N/A
AmbChenWeiqing,Entertainment & Recreation
AmbChineBurundi,N/A
AmbChineCmr,N/A
AmbCHINEenRDC,N/A
ambchinetchad,N/A
AmbCina,N/A
AmbCuiTiankai,N/A
AmbDongXiaojun,N/A
AmbFangQiu,Social Media Influencer
AmbJiaGuide,N/A
AmbKongXuanyou,N/A
AmbLiaoLiqiang,N/A
AmbLiuGuangYuan,N/A
AmbLiuQuan,N/A
AmbLiuXiaoMing,N/A
AmbNong,N/A
AmbQinGang,N/A
AmbWuJianghao,N/A
AmbXieFeng,N/A
AmbZhengZeguang,N/A
AmbZhouJian,N/A
aMEDIAchallenge,N/A
AndyBxxx,N/A
AnnaGE_,N/A
anosiwang,Content Creator
are_china,N/A
assignasia,N/A
ayishaelseenya,N/A
back_XiaoDiDi,Non-Governmental & Nonprofit Organization 
BeautyJiangxi,Travel & Transportation Services
BeijingChannel,N/A
BeijingDiscover,N/A
BeijingReview,Journalist
beltroadnews,N/A
bjd_review,N/A
BlairZheng1,N/A
Bossebosse84,N/A
bycongwang,N/A
Cao_Li_CHN,N/A
CaoYi_MFA,N/A
CathayPak,N/A
CCGBelfast,N/A
CCGJeddah,N/A
CCTV_Plus,N/A
cctvxinwen,N/A
CD_visual,N/A
CDAfricaNews,Media & News Company
CDchinawatch,N/A
CDHKedition,N/A
CdOpinion,N/A
CDscitech,N/A
CenJasmine,N/A
CGChinaInZurich,N/A
CGHuangPingNY,N/A
CGMeifangZhang,Entrepreneur
CGPRCinDubai,N/A
CGTN_Culture,N/A
CGTN_Dialogue,Media & News Company
cgtn_inheritors,N/A
CGTN_Style,N/A
cgtnafrica,Media & News Company
cgtnamerica,Media & News Company
cgtnarabic,N/A
CGTNBusiness,N/A
CGTNDCproducers,N/A
CGTNEurope,Media & News Company
CGTNEuropebreak,N/A
CGTNFood,N/A
CGTNFrancais,N/A
CGTNGlobalBiz,Media & News Company
CGTNGraphics,N/A
CGTNMovies,N/A
CGTNOfficial,Media & News Company
cgtnradio,N/A
cgtnrussian,Social Media Influencer
CGTNSports,N/A
CGTNSportsScene,N/A
CGTNStories,N/A
CGTNTech,Media & News
CGTNTravel,N/A
cgtntravelogue,N/A
cgtnun,N/A
CGZhangPingLA,N/A
Chen1126,N/A
chenhuixin,N/A
Chenjuan,N/A
ChenMingjian_CN,N/A
ChenPingMFA,N/A
chenweihua,N/A
CHENWendi11,N/A
China__Focus,N/A
China_Amb_India,N/A
China_Amb_Mdv,N/A
China_Amb_Zim,N/A
CHINA_DIPLOMAT,N/A
china_emb_ng,N/A
china_embajada,N/A
China_Lyon,N/A
China_OPCW,N/A
China_Ukraine_,N/A
china_xiamen,N/A
China24Official,N/A
China2ASEAN,N/A
ChinaAmbBelgium,N/A
ChinaAmbNL,N/A
ChinaAmbSA,N/A
ChinaAmbUN,N/A
chinaandsamoa,N/A
ChinaCG_CC,N/A
ChinaCG_Ffm,N/A
ChinaCG_Muc,N/A
ChinaCG_NYC,N/A
ChinaCGCalgary,N/A
chinacgedi,N/A
ChinaCGMTL,N/A
ChinaConsAlmaty,N/A
ChinaConsulate,N/A
chinaconsulist,N/A
ChinaConSydney,N/A
Chinacultureorg,N/A
ChinaDaily,Media & News Company
ChinaDaily_EU,N/A
ChinaDaily_Life,N/A
ChinaDailyAsia,Media & News Company
ChinaDailyEU,N/A
ChinaDailyWorld,N/A
chinadotcom_JP,N/A
Chinaemb_Hellas,N/A
ChinaEmb_Juba,N/A
ChinaEmbAddis,N/A
ChinaEmbajada,N/A
ChinaEmbajadaRD,N/A
ChinaEmbAlgeria,N/A
ChinaEmbAngola,N/A
ChinaEmbAntigua,N/A
ChinaEmbArg,N/A
ChinaEmbassy_MV,N/A
ChinaEmbassy_MW,N/A
ChinaembassyT,N/A
chinaembaustria,N/A
ChinaEmbBahrain,N/A
chinaembcongobz,N/A
ChinaEmbCroatia,N/A
ChinaEmBE,N/A
ChinaEmbEritrea,N/A
ChinaEmbEsp,N/A
ChinaEmbGermany,N/A
ChinaEmbGrenada,N/A
ChinaEmbinCH,N/A
ChinaEmbinGH,N/A
ChinaEmbinMR,N/A
ChinaEmbInNZ,N/A
ChinaEmbinRW,N/A
ChinaEmbIreland,Community
ChinaEmbKabul,N/A
ChinaEmbKazakh,N/A
ChinaEmbKSA,N/A
ChinaEmbKuwait,N/A
ChinaEmbLesotho,N/A
ChinaEmbMalta,N/A
Chinaembmanila,N/A
ChinaEmbNamibia,N/A
ChinaEmbNL,N/A
ChinaEmbOttawa,N/A
ChinaEmbPeru,N/A
ChinaEmbPoland,N/A
ChinaEmbPt,N/A
ChinaEmbSL,N/A
ChinaEmbSVK,N/A
ChinaEmSlovenia,N/A
ChinaEUMission,N/A
chinafrance,Media & News Company
ChinaInDenmark,N/A
ChinainLebanon,N/A
ChinainVan,N/A
ChinaIraq,N/A
Chinamission2un,N/A
ChinaMissionGva,N/A
chinaorgcn,N/A
ChinaPlusPods,N/A
ChinaScience,N/A
chinascio,N/A
ChinaSpox_India,Social Media Influencer
chinatoday_com,N/A
ChinaYouthOL,N/A
Chine_au_Mali,N/A
chine_guinee,N/A
ChineAmbassade,N/A
ChineAmbDjibout,N/A
ChineAmbMaroc,N/A
ChineseAmb_GM,N/A
ChineseCGMumbai,N/A
ChineseCon_Mel,N/A
ChineseEmb_FJ,N/A
ChineseEmb_PNG,N/A
ChineseEmb_Uga,N/A
chineseembassy1,N/A
ChineseembassyJ,N/A
ChineseEmbinHU,N/A
ChineseEmbinMNE,N/A
ChineseEmbinRus,N/A
ChineseEmbinUK,N/A
ChineseEmbinUS,N/A
ChineseEmbKenya,N/A
ChineseEmbtoYEM,N/A
ChineseEmbTZ,N/A
ChineseEstonia,N/A
ChineseLiberia,N/A
ChineseSomalia,N/A
ChineseZimbabwe,N/A
chloezhou21,"Beauty, Cosmetic & Personal Care"
CHN_EGY,N/A
ChnConsul_osaka,N/A
ChnConsulateFuk,N/A
ChnConsulateJhb,N/A
ChnConsulateNag,N/A
ChnConsulateNgo,N/A
ChnConsulateNgt,N/A
ChnEmbassy_jp,N/A
CHNembinSudan,N/A
CHNEmbSuriname,N/A
ChnMission,N/A
cidcaofficial,N/A
cinitalia,N/A
cjxwh_hbtv,N/A
closertochina,N/A
CNContentCenter,N/A
CNS1952,Media & News Company
CoChwila,N/A
CocoStudio4,N/A
consulat_de,N/A
ConsulateSan,N/A
ConsulChinaBcn,N/A
ConsulChinaRJ,N/A
cri_hindi,N/A
