username,location
_bubblyabby_,
_cultureexpress,Beijing
ACSF1919,
afghanchina,China_Bijjing
AlexYsalex17,"北京, 中华人民共和国"
Amazing_Yunnan,"Kunming, China"
Amb_ChenXu,
Amb_LiSong,Austria
Amb_LuKang,"Jakarta, Indonesia"
Amb_Yiming,Abu Dhabi
Amb_ZhuJing,
AmbassadeChine,20 Rue Monsieur 75007 Paris
Ambassador_Liu,"Beijing China 北京, 中国"
AmbassadorHuang,Nicosia
AmbassadorLei,"Maseru, Lesotho"
AmbChangHua,
AmbChenBo,"Užička 25, 11040 Beograd"
AmbChenWeiqing,
AmbChineBurundi,Burundi
AmbChineCmr,Yaoundé
AmbCHINEenRDC,Kinshasa 
ambchinetchad," Rue No.1021, N'Djaména, Tchad"
AmbCina,"Rome, Lazio"
AmbCuiTiankai,"Washington, DC"
AmbDongXiaojun,
AmbFangQiu,
AmbJiaGuide,
AmbKongXuanyou,
AmbLiaoLiqiang,Cairo
AmbLiuGuangYuan,
AmbLiuQuan,
AmbLiuXiaoMing,Beijing，China
AmbNong,Islamabad
AmbQinGang,
AmbWuJianghao,
AmbXieFeng,
AmbZhengZeguang,London
AmbZhouJian,"Doha, Qatar"
aMEDIAchallenge,
AndyBxxx,People's Republic of China
AnnaGE_,N/A
anosiwang,Beijing
are_china,Beijing
assignasia,Beijing
ayishaelseenya,الصين
back_XiaoDiDi,香港
BeautyJiangxi,East China's Jiangxi
BeijingChannel,
BeijingDiscover,Beijing
BeijingReview,Worldwide
beltroadnews,Silk Road
bjd_review,"Beijing, China"
BlairZheng1,Macau
Bossebosse84,"Beijing, China"
bycongwang,"Beijing, China"
Cao_Li_CHN,Beijing
CaoYi_MFA,"Beijing, China"
CathayPak,"اسلام آباد, پاکستان"
CCGBelfast,"75-77 Malone Road, Belfast"
CCGJeddah,Jeddah
CCTV_Plus,"Beijing, CHINA"
cctvxinwen,Beijing.China
CD_visual,
CDAfricaNews,"Nairobi, Kenya"
CDchinawatch,
CDHKedition,Hong Kong 
CdOpinion,
CDscitech,
CenJasmine,"Beijing, People's Republic of China"
CGChinaInZurich,
CGHuangPingNY,New York
CGMeifangZhang,"75-77 Malone Road, Belfast"
CGPRCinDubai,"Dubai, UAE"
CGTN_Culture,"Beijing, China"
CGTN_Dialogue,Beijing
cgtn_inheritors,N/A
CGTN_Style,Beijing
cgtnafrica,Africa
cgtnamerica,"Washington, DC"
cgtnarabic,
CGTNBusiness,"Beijing, China"
CGTNDCproducers,"Washington, DC"
CGTNEurope,Europe
CGTNEuropebreak,Europe
CGTNFood,"Beijing, China"
CGTNFrancais,Chine
CGTNGlobalBiz,Beijing
CGTNGraphics,"Beijing, China"
CGTNMovies,"Beijing, China"
CGTNOfficial,"Beijing, China"
cgtnradio,"Beijing, China"
cgtnrussian,
CGTNSports,"Beijing, China"
CGTNSportsScene,"北京, 中华人民共和国"
CGTNStories,"Beijing, China"
CGTNTech,"Beijing, China"
CGTNTravel,
cgtntravelogue,"Beijing, China"
cgtnun,
CGZhangPingLA,N/A
Chen1126,"Beijing, China"
chenhuixin,Helsinki
Chenjuan,Shanghai
ChenMingjian_CN,"Dar es Salaam, Tanzania"
ChenPingMFA,
chenweihua,"Brussels, Belgium"
CHENWendi11,"Mogadishu, Somalia"
China__Focus,"Beijing, China"
China_Amb_India,"50-D, Shantipath, Chanakyapuri"
China_Amb_Mdv,
China_Amb_Zim,"Harare, Zimbabwe"
CHINA_DIPLOMAT,
china_emb_ng,"302 Diplomatic Drive, Abuja"
china_embajada,"Calle72#2A-41, Bogotá"
China_Lyon,69 rue Duquesne 69006 Lyon
China_OPCW,
China_Ukraine_,Ukraine
china_xiamen,"Xiamen,China"
China24Official,Beijing
China2ASEAN,"Jakarta, Indonesia"
ChinaAmbBelgium,"Bruxelles, Belgique"
ChinaAmbNL,
ChinaAmbSA,Pretoria
ChinaAmbUN,New York
chinaandsamoa,
ChinaCG_CC,
ChinaCG_Ffm,
ChinaCG_Muc,Munich
ChinaCG_NYC,
ChinaCGCalgary,
